,note,sort,stat,code,fd,name,parent,freq,tb,sdt
0,账面市值比，即公司股东权益与市值的比值。账面市值比=最近报告期股东权益合计/最新公司市值,16,1,M001001,p.p1,账面市值比,M001,D,metrics.comm_idx_price_his_a,2007-04-30
1,近1年股息率，即最近1年公司合计派现占市值比重。年派现_市值比=最近1年公司的合计派现/公司市值,18,1,M001003,p.p3,近1年股息率,M001,D,metrics.comm_idx_price_his_a,2008-04-30
2,近3年股息率，即最近3年公司合计派现占市值比重。近3年派现_市值比=最近3年公司的合计派现/公司市值,19,1,M001004,p.p4,近3年股息率,M001,D,metrics.comm_idx_price_his_a,2010-04-30
3,企业价值倍数，即企业价值与（扣除非经常性损益后）息税折旧及摊销前利润的比值。企业倍数=企业价值/税息折旧摊销前利润=EV/EBITDA,17,0,M001005,p.p5,企业价值倍数,M001,Q,metrics.comm_idx_price_his_a,2008-04-30
4,市盈率相对盈利增长比率，即公司市盈率与未来盈利增长率的比值。PEG=PE/未来1年的每股收益增长率,20,0,M001006,p.p6,市盈率相对盈利增长比率,M001,D,metrics.comm_idx_price_his_a,2008-04-30
5,市盈率LTM，即公司股价与最近12月每股收益的比值，或公司市值与归属母公司净利润LTM的比值。PE=市值/净利润(LTM),1,1,M001007,pe,市盈率LTM,M001,D,metrics.comm_idx_price_his_a,2008-04-30
6,市销率LTM，即股价与最近12月每股营业收入的比值，或公司市值与营业收入的比值。PS=市场价值/营业收入(LTM),3,1,M001009,ps,市销率LTM,M001,D,metrics.comm_idx_price_his_a,2008-04-30
7,市现率LTM，即股价与最近12月每股经营现金流的比值，或公司市值与经营活动产生的现金流量的比值。PCF=市值/经营活动产生的现金流量净额(LTM),4,1,M001010,pcf,市现率LTM,M001,D,metrics.comm_idx_price_his_a,2008-04-30
8,市盈率，即市值与净利润之比。市盈率YTD=最新市值/（最近报告期净利润*年化系数）,5,0,M001011,p.p7,市盈率YTD,M001,D,metrics.comm_idx_price_his_a,2008-04-30
9,市净率，反映市值和净资产的比率，净资产即公司的账面价值。市净率YTD=最新市值/最近报告期净资产,2,1,M001012,pb,市净率,M001,D,metrics.comm_idx_price_his_a,2007-04-30
10,市销率，即市值与营业收入的比值。市销率YTD=最新市值/（最近报告期营业收入*年化系数）,6,0,M001013,p.p9,市销率YTD,M001,D,metrics.comm_idx_price_his_a,2008-04-30
11,市现率，即市值与现金流量净额的比值。市现率YTD=市值/（最近报告期现金流量净额*年化系数）,7,0,M001014,p.p10,市现率YTD,M001,D,metrics.comm_idx_price_his_a,2008-04-30
